部門代號,地區,站名,部門所在地址,電話,經度,緯度
D4376,臺西,口湖站,雲林縣口湖鄉湖東村中正路一段99號,05-7892504,23.58226644,120.1849713
D4377,朴子,東石站,嘉義縣東石鄉東石村4-1號,05-3732760,23.45909,120.153313
D4378,嘉義,溪口站,嘉義縣溪口鄉溪東村民族西路１號,05-2691700,23.60230336,120.4005608
D4379,嘉義,中埔站,嘉義縣中埔鄉中埔村中埔161-4號,05-2532046,23.425017,120.520131
D4390,麥寮,橋南站,雲林縣麥寮鄉橋頭村1鄰橋頭34號,05-6913386,23.78950852,120.2720815
D4397,新港,嘉保站,嘉義縣太保市安仁里嘉朴東路1段116號,05-3623558,23.459281,120.298691
D439L,新營,白交站,台南市白河區河東里9鄰糞箕湖122之15號,06-6831091,23.345241,120.428692
D43W2,斗六,雅虎站,雲林縣斗六市虎溪里西平路776號,05-5514796,23.72409591,120.5247924
D43W4,嘉義,高鐵北站,嘉義市東區大溪里高鐵大道1250號,05-2383460,23.488179,120.400393
D43X5,竹山,阿里山新站,嘉義縣阿里山南阿里山55-5號,05-2679058,23.504103,120.792747
D43X6,新營,長榮路站,台南市新營區長榮路2段186號,06-6560662,23.318873,120.306529
D5002,臺南,台南行銷大樓,,,22.998105,120.209387
D5020,善化,豐德供油中心(辦公室),,,23.075648,120.36291
D5020,善化,豐德供油中心(司泵),,,23.075744,120.363091
D5021,安南,台南供油中心(司泵),,,23.051062,120.258917
D5021,安南,台南供油中心(辦公室),,,23.051074,120.259051
D504I,臺南,公園路站,,,23.01760047,120.215279
D504P,橋頭,路竹站,,,22.86621407,120.2567102
D504Q,善化,隆田站,,,23.19936335,120.3164196
D504S,善化,新化站,,,23.03594838,120.3009534
D505B,善化,麻豆站,,,23.18356501,120.2473717
D505D,新營,學甲站,,,23.22953288,120.1826437
D505I,臺南,大灣站,,,22.99844777,120.2484394
D505N,善化,茄拔站,,,23.14442138,120.3275223
D505Q,善化,左鎮站,,,23.06129819,120.4175831
D505W,臺南,中華路西站,,,22.97778276,120.2262661
D505Z,安南,佳里仁愛路站,,,23.15186239,120.1839045
D506B,橋頭,大湖站,,,22.87874798,120.2517699
D506C,安南,安中路站,,,23.05380409,120.1602245
D506M,臺南,永華路東站,,,22.99005711,120.1810982
D506N,臺南,中華西路南站,,,22.98254451,120.1865749
D506P,善化,善化站,,,23.13234838,120.2917844
D506Q,新營,下營站,,,23.23982232,120.272199
D506R,臺南,文賢路站,,,23.00430134,120.1935903
D506S,安南,西港站,,,23.11631231,120.2042793
D506T,臺南,東門路站,,,22.98636092,120.2201384
D506U,橋頭,太爺站,,,22.90718106,120.2282606
D506V,美濃,阿蓮站,,,22.87330636,120.3263069
D506W,臺南,仁德站,,,22.97100618,120.255542
D506X,美濃,玉井站,,,23.12071722,120.4653252
D506Y,安南,關廟站,,,22.96052445,120.3249112
D507D,善化,中油南科站,,,23.09729412,120.2882072
D507H,臺南,成功路站,,,22.99792501,120.2090549
D507I,新營,北門站,,,23.24139841,120.1332733
D507K,美濃,南化站,,,23.04375047,120.4787687
D507L,善化,六甲站,,,23.23313739,120.3414819
D507M,安南,七股站,,,23.13672821,120.1347082
D507N,臺南,大同路站,,,22.97505301,120.21405
D507P,善化,楠西站,,,23.17033032,120.4881135
D507Q,臺南,安平工業區站,,,22.972937,120.1835475
D507R,善化,新市站,,,23.07341521,120.299851
D507S,安南,將軍站,,,23.20394067,120.1589712
D507T,安南,歸仁站,,,22.96787281,120.2828459
D507U,善化,大內站,,,23.12134474,120.3547231
D507V,善化,山上站,,,23.10580931,120.3509145
D507W,美濃,甲仙站,,,23.07604293,120.5816976
D507X,安南,安順站,,,23.0451691,120.193782
D507Z,橋頭,茄萣站,,,22.90688924,120.1840098
D509F,橋頭,仁德服務區北上站,,,22.90835759,120.2553471
D509G,安南,中油永康交流道站,,,23.04183662,120.2549201
D50W1,美濃,歸仁高鐵站,,,22.928948,120.277709
D50W9,臺西,安平古堡站,,,23.00108613,120.1703215
D5100,前鎮,處本部5樓,高雄市前鎮區成功二路１５號　　　　　　　　　　,07-3372100  ,22.609562,120.299299
D511C,橋頭,橋頭直銷中心,高雄縣橋頭鄉成功南路青埔溪邊一號　　　　　　　,612-9230    ,22.735489,120.319718
D511M,大寮,屏東零售中心,屏東市復興路２６１號　　　　　　　　　　　　　,08-7552710T0,22.660966,120.487895
D513A,小港,高雄航油中心,高雄市小港區中山四路１號　　　　　　　　　　　,07-8312191  ,22.569455,120.340962
D5140,鳳山,建國二路站,高雄市三民區建國二路66號,07-2383484,22.637657,120.311102
D5143,林園,枋寮站,屏東縣枋寮鄉新龍村中山路319號,08-8782060,22.37333917,120.5937263
D5145,橋頭,岡山站,高雄市岡山區岡山南路45號,07-6252450,22.78227777,120.2977588
D5146,楠梓,後勁站,高雄市楠梓區後昌路200號,07-3613018,22.7161679,120.3096538
D5147,左營,左營站,高雄市左營區中華一路2-11號,07-5825621,22.67098129,120.2863168
D514A,鳳山,中正二路站,高雄市新興區中正二路166號,07-2241235,22.630549,120.317079
D514E,楠梓,鼓山三路站,高雄市鼓山區鼓山三路5-1號,07-5612463,22.64794,120.276931
D514G,林園,林園站,高雄市林園區林園北路350號,07-6412285,22.512081,120.395029
D514H,屏東,公園路站,屏東縣屏東市民權路74號,08-7325794,22.67364186,120.4924654
D514J,前金,中華三路站,高雄市前金區中華三路136號,07-2851354,22.630709,120.295639
D514K,鳳山,建工路站,高雄市三民區建工路566號,07-3832928,22.650289,120.324784
D514L,鳳山,五甲站,高雄市鳳山區五甲一路232號,07-7460364,22.61808618,120.3546518
D514M,屏東,中正路站,屏東縣屏東市中正路375號,08-7364224,22.6849567,120.4942916
D514R,鳳山,山東街站,高雄市三民區山東街70號,07-3118164,22.642602,120.311586
D514T,小港,臨海工業區站,高雄市小港區沿海二路2號,07-8010873,22.543147,120.370953
D514V,潮州,萬巒站,屏東縣萬巒鄉萬巒村中正路5-2號,08-7811648,22.57055158,120.5644742
D514Y,大寮,大寮站,高雄市大寮區山頂里鳳林三路616號,07-7813631,22.608385,120.395458
D514Z,鳳山,鳳松站,高雄市鳳山區武松里鳳松路178-5號,07-7431562,22.637798,120.362864
D5152,潮州,潮州站,屏東縣潮州鎮三和里延平路217號,08-7882044,22.55714641,120.5401954
D5154,前金,成功一路站,高雄市前金區成功一路384號,07-2218734,22.623994,120.294242
D5155,鳳山,鳳山站,高雄市鳳山區中山東路10號,07-7462492,22.620448,120.363397
D5156,屏東,忠孝路站,屏東縣屏東市忠孝路209-1號,08-7337759,22.6798233,120.4881798
D5157,林園,東港站,屏東縣東港鎮興東里中正路一段85號,08-8322352,22.47171692,120.4551575
D5159,美濃,美濃站,高雄市美濃區和合里成功路133號,07-6812044,22.89408145,120.5468424
D515A,鳳山,林森二路站,高雄市新興區新田路82號,07-2819638,22.623142,120.305722
D515E,鳳山,瑞豐站,高雄市前鎮區瑞福路2號,07-7610629,22.605097,120.336707
D515F,橋頭,燕巢站,高雄市燕巢區南燕里中興路199號,07-6161704,22.78675791,120.3627119
D515H,林園,林園沿海加油站,高雄市林園區港埔里沿海路四段1號,07-6417604,22.500524,120.385995
D515K,潮州,水門站,屏東縣內埔鄉水門村中山路1號,08-7991585,22.70355976,120.6369828
D515R,屏東,長治站,屏東縣長治鄉崙上村中興路549號,08-7622443,22.68494553,120.5135224
D515Y,鳳山,民權路站,高雄市前鎮區一心一路291號,07-3316290,22.609717,120.313699
D5160,屏東,里港站,屏東縣里港鄉大平村中山南路25號,08-7752054,22.77504651,120.4942714
D5161,恆春,恆春站,屏東縣恆春鎮網紗里省北路7號,08-8892635,22.00912309,120.743684
D5163,潮州,萬丹站,屏東縣萬丹鄉萬丹路一段399號,08-7772142,22.59324583,120.4887535
D5164,橋頭,橋頭站,高雄市橋頭區橋頭里成功北路15號,07-6113644,22.76274081,120.3079581
D5165,鳳山,高鳳站,高雄市苓雅區建國一路3號,07-7491901,22.62851,120.342758
D5166,鳳山,中正三路站,高雄市新興區中正三路9號,07-2261045,22.630663,120.310391
D5168,鳳山,中山二路站,高雄市前金區中山二路569號,07-2317441,22.621933,120.301198
D5169,鳳山,大義街站,高雄市鹽埕區大義街56-1號,07-5518163,22.620733,120.285967
D516F,鳳山,覺民路站,高雄市三民區覺民路362號,07-3869992,22.640599,120.334578
D516G,屏東,嶺口站,高雄市大樹區統嶺里統嶺路125號之2,07-6562965,22.77366729,120.4349755
D516K,鳳山,鼎山路站,高雄市三民區鼎山街373號,07-3839681,22.65721986,120.3217218
D516N,楠梓,右昌軍校路站,高雄市楠梓區軍校路737號,07-3637331,22.7086986,120.292798
D516V,鳳山,南鼓山站,高雄市鼓山區捷興二街46號,07-5517556,22.621942,120.274896
D516W,楠梓,楠梓加工區站,高雄市楠梓區經五路125號(備註：週日及國定假日歇,07-3630096,22.72271831,120.3015455
D5170,恆春,楓港站,屏東縣枋山鄉楓港村舊庄路53號,08-8771141,22.19929458,120.6892666
D5171,鳳山,建國一路站,高雄市苓雅區建國一路142號,07-7518715,22.632662,120.3301
D5173,屏東,復興路站,屏東縣屏東市復興路261號,08-7525421,22.66201575,120.4879342
D5174,鳳山,青年路站,高雄市苓雅區民權一路105號,07-3352549,22.623026,120.311693
D5175,潮州,新埤站,屏東縣新埤鄉新埤村新中路74號,08-7971017,22.46989996,120.5482068
D5176,仁武,仁武站,高雄市仁武區鳳仁路282號,07-3711361,22.70343144,120.3441977
D5178,小港,小港機場加油站,高雄市小港區大業北路45號,07-8023938,22.568113,120.343758
D5179,美濃,六龜站,高雄市六龜區光復路308號,07-6891059,22.99225713,120.6356888
D517L,楠梓,左楠站,高雄市楠梓區高雄市楠梓區左楠路2-1號,07-5888562,22.70477374,120.3027069
D517M,潮州,南州交流道站,屏東縣南州鄉壽元村大同路107號,08-8644993,22.491695,120.538939
D517N,小港,大林站,高雄市小港區鳳華路1號,07-8714612,22.524534,120.349594
